127.0.0.1 - - [13/Mar/2017:20:32:44 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:33:05 +0800] "GET /services/ HTTP/1.1" 200 4457
127.0.0.1 - - [13/Mar/2017:20:33:05 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2017:20:33:05 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2017:20:33:06 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2017:20:33:06 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:34:37 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:34:37 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:35:44 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:35:44 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:38:22 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:38:22 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:38:23 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:38:23 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:39:22 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:39:22 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:39:23 +0800] "GET /services/ HTTP/1.1" 200 4474
127.0.0.1 - - [13/Mar/2017:20:39:23 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:41:52 +0800] "GET /services/ HTTP/1.1" 200 4630
127.0.0.1 - - [13/Mar/2017:20:41:52 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:46:42 +0800] "GET /services/ HTTP/1.1" 200 4553
127.0.0.1 - - [13/Mar/2017:20:46:42 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Mar/2017:20:46:42 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [13/Mar/2017:20:46:53 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:48:50 +0800] "GET /services/ HTTP/1.1" 200 4603
127.0.0.1 - - [13/Mar/2017:20:48:50 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:49:10 +0800] "GET /services/ HTTP/1.1" 200 4459
127.0.0.1 - - [13/Mar/2017:20:49:10 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:52:26 +0800] "GET /services/ HTTP/1.1" 200 4481
127.0.0.1 - - [13/Mar/2017:20:52:26 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:52:39 +0800] "GET /services/ HTTP/1.1" 200 4645
127.0.0.1 - - [13/Mar/2017:20:52:39 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:53:42 +0800] "GET /services/ HTTP/1.1" 200 4637
127.0.0.1 - - [13/Mar/2017:20:53:42 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:54:06 +0800] "GET /services/ HTTP/1.1" 200 4648
127.0.0.1 - - [13/Mar/2017:20:54:06 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:55:31 +0800] "GET /services/ HTTP/1.1" 200 4624
127.0.0.1 - - [13/Mar/2017:20:55:31 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:56:19 +0800] "GET /services/ HTTP/1.1" 200 4698
127.0.0.1 - - [13/Mar/2017:20:56:19 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:57:11 +0800] "GET /services/ HTTP/1.1" 200 4684
127.0.0.1 - - [13/Mar/2017:20:57:11 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:57:50 +0800] "GET /services/ HTTP/1.1" 200 4720
127.0.0.1 - - [13/Mar/2017:20:57:50 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:58:09 +0800] "GET /services/ HTTP/1.1" 200 4720
127.0.0.1 - - [13/Mar/2017:20:58:09 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [13/Mar/2017:20:58:09 +0800] "GET /services/ HTTP/1.1" 200 4720
127.0.0.1 - - [13/Mar/2017:20:58:09 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
